Age;Sex;Job;Housing;Saving accounts;Checking account;Credit amount;Duration;Purpose
22;female;skilled;own;little;moderate;5951;48;radio/TV
45;male;skilled;free;little;little;7882;42;furniture/equipment
53;male;skilled;free;little;little;4870;24;car
35;male;highly_skilled;rent;little;moderate;6948;36;car
28;male;highly_skilled;own;little;moderate;5234;30;car
25;female;skilled;rent;little;moderate;1295;12;car
24;female;skilled;rent;little;little;4308;48;business
22;female;skilled;own;little;moderate;1567;12;radio/TV
60;male;unskilled_resident;own;little;little;1199;24;car
28;female;skilled;rent;little;little;1403;15;car
44;female;highly_skilled;free;little;moderate;12579;24;car
48;male;unskilled_resident;rent;little;little;2241;10;car
36;male;unskilled_resident;own;little;little;1374;6;furniture/equipment
34;male;skilled;own;little;moderate;2415;7;radio/TV
63;male;skilled;own;little;little;6836;60;business
27;male;skilled;own;little;little;4020;24;furniture/equipment
33;female;highly_skilled;own;little;rich;1474;12;furniture/equipment
25;male;unskilled_resident;own;little;moderate;4746;45;radio/TV
37;male;skilled;own;little;rich;2100;18;radio/TV
37;male;skilled;own;little;rich;1225;10;domestic appliances
24;male;skilled;own;little;moderate;458;9;radio/TV
44;male;unskilled_resident;own;little;moderate;6204;18;repairs
58;female;unskilled_resident;free;little;little;6143;48;car
30;male;highly_skilled;own;little;moderate;5965;27;car
57;male;skilled;free;little;moderate;2225;36;car
23;female;highly_skilled;own;little;rich;1961;18;car
23;female;unskilled_resident;rent;little;little;6229;36;furniture/equipment
27;male;skilled;own;little;moderate;1391;9;business
61;male;highly_skilled;free;little;moderate;1953;36;business
25;male;skilled;own;little;moderate;14421;48;business
51;male;highly_skilled;free;little;little;1164;8;vacation/others
41;female;unskilled_resident;own;little;moderate;5954;42;business
66;male;highly_skilled;free;little;little;1526;12;car
34;male;skilled;own;little;little;3965;42;radio/TV
51;male;skilled;own;little;moderate;4771;11;radio/TV
22;male;skilled;own;little;moderate;3832;30;furniture/equipment
58;female;unskilled_resident;own;little;little;1755;24;vacation/others
52;male;unskilled_resident;own;little;little;2315;10;radio/TV
27;female;skilled;own;little;moderate;1295;18;furniture/equipment
28;male;skilled;own;little;little;1108;12;repairs
54;male;skilled;own;little;little;1409;12;car
58;male;skilled;rent;little;moderate;15945;54;business
36;male;skilled;own;little;moderate;2337;36;radio/TV
24;male;skilled;rent;little;moderate;2323;36;radio/TV
35;male;skilled;rent;little;moderate;1919;9;furniture/equipment
39;male;highly_skilled;own;little;moderate;11938;24;vacation/others
32;male;skilled;own;little;moderate;6078;12;car
23;female;skilled;rent;little;rich;392;15;education
28;male;unskilled_resident;rent;little;moderate;6260;18;car
25;female;skilled;own;little;little;1835;21;radio/TV
63;male;skilled;free;little;rich;781;10;car
30;male;skilled;own;little;little;2121;12;car
40;male;unskilled_resident;own;little;little;701;12;radio/TV
30;male;skilled;own;little;moderate;639;12;repairs
34;male;highly_skilled;own;little;moderate;1860;12;car
29;female;skilled;own;little;little;3499;12;car
29;male;skilled;own;little;little;6887;36;education
44;female;unskilled_resident;rent;little;rich;1881;12;radio/TV
30;female;highly_skilled;own;little;moderate;4795;36;radio/TV
27;male;highly_skilled;own;little;little;3416;27;radio/TV
22;male;skilled;own;little;little;2462;18;furniture/equipment
39;female;skilled;own;little;little;860;6;car
28;male;skilled;own;little;little;5371;36;furniture/equipment
24;male;skilled;own;little;rich;5848;36;radio/TV
20;female;skilled;rent;little;little;1282;12;furniture/equipment
45;male;unskilled_resident;own;little;little;339;12;education
70;male;highly_skilled;free;little;moderate;7308;10;car
33;female;skilled;own;little;little;1131;18;furniture/equipment
31;male;skilled;own;little;moderate;1935;24;business
33;male;skilled;rent;little;little;950;15;car
34;female;highly_skilled;own;little;moderate;2064;24;furniture/equipment
33;male;skilled;own;little;moderate;1414;8;radio/TV
26;male;skilled;own;little;little;3414;21;education
42;male;skilled;own;little;little;2577;12;furniture/equipment
65;male;skilled;own;little;little;571;21;car
30;male;highly_skilled;own;little;moderate;4455;36;business
36;male;skilled;own;little;moderate;884;18;car
74;female;highly_skilled;free;little;moderate;5129;9;car
68;male;unskilled_non-resident;free;little;moderate;1175;16;car
33;female;skilled;own;little;moderate;3244;18;furniture/equipment
36;male;skilled;own;little;moderate;3915;27;business
34;female;highly_skilled;own;little;moderate;1501;9;education
40;male;highly_skilled;own;little;moderate;4297;18;furniture/equipment
27;male;unskilled_resident;own;little;little;1168;12;car
21;male;skilled;rent;little;little;902;12;education
38;male;highly_skilled;free;little;little;10623;30;car
26;male;skilled;own;little;moderate;1424;12;domestic appliances
21;male;unskilled_resident;own;little;little;6568;24;business
50;male;skilled;own;little;little;5293;27;business
66;male;highly_skilled;own;little;rich;1908;30;business
31;male;skilled;own;little;little;3104;18;business
23;male;skilled;own;little;rich;3913;36;radio/TV
24;male;unskilled_resident;rent;little;little;3021;24;furniture/equipment
26;male;unskilled_resident;own;little;moderate;625;12;radio/TV
53;male;highly_skilled;free;little;little;7865;12;furniture/equipment
22;male;skilled;free;little;little;3149;24;furniture/equipment
26;male;skilled;own;little;rich;4210;36;radio/TV
25;male;unskilled_resident;own;little;moderate;866;18;radio/TV
30;male;highly_skilled;own;little;little;1823;24;radio/TV
39;male;skilled;own;little;little;2522;30;radio/TV
24;male;skilled;free;little;little;4605;48;car
26;male;skilled;own;little;rich;1925;24;furniture/equipment
46;female;unskilled_resident;own;little;rich;2251;12;furniture/equipment
24;female;skilled;own;little;moderate;2150;30;car
29;male;skilled;free;little;little;2149;12;radio/TV
27;male;skilled;own;little;little;1657;12;furniture/equipment
55;female;skilled;own;little;little;1603;24;radio/TV
36;male;highly_skilled;free;little;little;5302;18;car
37;male;skilled;own;little;moderate;802;15;radio/TV
45;male;highly_skilled;own;little;little;8978;14;car
28;male;skilled;own;little;moderate;3060;48;radio/TV
34;male;unskilled_resident;own;little;little;11998;30;repairs
35;female;unskilled_resident;own;little;little;10722;47;car
26;male;skilled;own;little;little;4788;48;car
49;female;skilled;own;little;moderate;1092;12;radio/TV
48;male;skilled;own;little;little;1024;24;radio/TV
28;male;highly_skilled;rent;little;moderate;9398;36;car
44;female;highly_skilled;free;little;little;6419;24;car
56;male;skilled;free;little;rich;4796;42;car
26;female;skilled;own;little;moderate;9960;48;furniture/equipment
42;female;skilled;own;little;moderate;3804;36;radio/TV
49;male;skilled;own;little;little;1038;10;car
24;female;skilled;own;little;moderate;1237;8;furniture/equipment
22;male;unskilled_resident;rent;little;moderate;276;9;car
26;female;skilled;own;little;rich;3749;24;furniture/equipment
25;male;unskilled_resident;own;little;moderate;685;12;car
31;male;skilled;own;little;little;2746;36;furniture/equipment
38;male;unskilled_resident;own;little;little;708;12;furniture/equipment
27;female;unskilled_resident;own;little;little;3643;15;furniture/equipment
28;male;highly_skilled;own;little;moderate;4249;30;car
32;male;skilled;own;little;little;1938;24;radio/TV
34;male;highly_skilled;free;little;little;2910;24;car
39;male;unskilled_resident;own;little;little;3398;8;car
31;male;skilled;own;little;rich;4473;36;radio/TV
28;male;skilled;own;little;moderate;1068;6;radio/TV
75;male;highly_skilled;free;little;little;6615;24;car
23;male;skilled;rent;little;little;4110;24;furniture/equipment
44;male;highly_skilled;rent;little;little;3384;6;furniture/equipment
23;female;unskilled_resident;own;little;moderate;2101;13;radio/TV
28;male;skilled;own;little;little;4169;24;furniture/equipment
31;male;unskilled_resident;own;little;moderate;1521;10;furniture/equipment
24;female;skilled;free;little;moderate;5743;24;education
26;female;unskilled_resident;rent;little;little;3599;21;furniture/equipment
33;male;highly_skilled;own;little;moderate;4439;18;business
37;male;unskilled_resident;own;little;rich;3949;10;car
23;male;skilled;own;little;moderate;882;13;radio/TV
29;female;skilled;own;little;moderate;959;9;furniture/equipment
28;male;skilled;rent;little;little;6199;12;radio/TV
23;male;unskilled_resident;own;little;moderate;1246;24;car
23;female;skilled;rent;little;little;2406;30;furniture/equipment
36;female;skilled;own;little;rich;2247;12;car
25;male;unskilled_non-resident;own;little;little;2473;18;furniture/equipment
22;female;skilled;rent;little;little;3650;18;furniture/equipment
42;male;skilled;own;little;little;3446;36;furniture/equipment
40;female;skilled;rent;little;moderate;3001;18;furniture/equipment
37;female;skilled;rent;little;little;7685;48;business
57;male;highly_skilled;free;little;moderate;14318;36;car
38;female;highly_skilled;free;little;moderate;12976;18;car
26;male;skilled;own;little;rich;1330;12;car
40;male;highly_skilled;own;little;moderate;7374;18;furniture/equipment
39;male;highly_skilled;free;little;little;3249;36;car
31;female;skilled;own;little;little;1957;6;radio/TV
55;female;highly_skilled;free;little;little;2578;12;furniture/equipment
46;male;skilled;own;little;little;2348;36;furniture/equipment
46;male;skilled;rent;little;moderate;1223;12;car
22;male;skilled;own;little;moderate;2039;24;radio/TV
27;male;skilled;own;little;little;1053;15;radio/TV
20;female;skilled;own;little;moderate;1967;24;radio/TV
33;male;unskilled_resident;own;little;little;2579;12;car
47;male;unskilled_resident;own;little;moderate;958;12;car
21;male;skilled;rent;little;moderate;2779;18;car
55;female;unskilled_non-resident;free;little;little;1190;18;repairs
29;male;highly_skilled;own;little;moderate;11328;24;vacation/others
36;male;highly_skilled;free;little;little;1872;6;furniture/equipment
25;male;skilled;own;little;little;2136;9;furniture/equipment
65;male;unskilled_non-resident;own;little;little;3394;42;repairs
26;female;unskilled_non-resident;own;little;rich;609;12;business
30;female;skilled;own;little;little;1620;12;furniture/equipment
29;male;skilled;own;little;moderate;2629;20;vacation/others
30;female;highly_skilled;own;little;moderate;5096;48;furniture/equipment
34;female;skilled;own;little;little;1842;36;car
35;male;skilled;own;little;moderate;2576;7;radio/TV
31;male;skilled;own;little;little;4817;24;car
36;male;skilled;rent;little;little;3905;11;car
35;male;skilled;free;little;little;3386;12;car
27;female;skilled;own;little;little;343;6;domestic appliances
37;male;skilled;own;little;little;3620;36;furniture/equipment
36;male;skilled;own;little;little;1721;15;car
34;female;highly_skilled;rent;little;moderate;3017;12;furniture/equipment
63;male;skilled;own;little;little;2924;24;car
29;female;unskilled_resident;rent;little;little;1659;24;radio/TV
23;female;skilled;own;little;little;448;6;education
28;male;unskilled_resident;own;little;little;654;9;car
33;male;skilled;own;little;moderate;1245;18;radio/TV
26;female;skilled;rent;little;little;3114;18;furniture/equipment
25;male;skilled;own;little;rich;5152;24;radio/TV
44;male;skilled;own;little;little;1478;15;furniture/equipment
23;female;unskilled_resident;own;little;moderate;3573;12;radio/TV
26;male;skilled;own;little;moderate;1201;24;car
47;male;highly_skilled;own;little;moderate;1209;6;car
42;female;highly_skilled;free;little;moderate;8318;27;business
39;male;unskilled_resident;rent;little;little;2122;12;car
32;male;unskilled_resident;own;little;moderate;1301;18;radio/TV
27;female;skilled;own;little;little;3123;24;car
42;male;skilled;free;little;little;5493;36;car
24;female;skilled;rent;little;little;1207;24;car
26;male;skilled;own;little;little;759;12;car
26;male;skilled;rent;little;rich;2687;15;business
20;male;skilled;rent;little;moderate;585;12;radio/TV
37;female;skilled;own;little;little;609;6;car
40;male;unskilled_resident;own;little;little;1361;6;car
24;female;skilled;own;little;little;3190;18;radio/TV
53;male;skilled;free;little;little;7119;48;furniture/equipment
26;female;unskilled_resident;own;little;moderate;1113;18;radio/TV
30;male;skilled;own;little;moderate;7966;26;car
31;male;skilled;rent;little;little;2302;36;radio/TV
41;male;unskilled_resident;own;little;little;662;6;car
32;male;skilled;own;little;moderate;2273;36;education
33;male;skilled;rent;little;rich;2319;21;education
37;female;skilled;own;little;moderate;3612;18;furniture/equipment
42;male;highly_skilled;free;little;little;7763;48;car
45;female;unskilled_resident;own;little;rich;3049;18;furniture/equipment
23;male;skilled;rent;little;moderate;1534;12;radio/TV
34;male;unskilled_resident;own;little;rich;2864;18;furniture/equipment
43;male;skilled;free;little;little;1333;24;car
24;female;unskilled_resident;own;little;little;626;12;radio/TV
34;male;skilled;own;little;little;6999;48;radio/TV
67;female;highly_skilled;own;little;moderate;1199;9;education
22;male;skilled;own;little;moderate;1331;12;radio/TV
27;male;skilled;own;little;little;3552;24;furniture/equipment
31;male;unskilled_resident;own;little;moderate;1928;18;furniture/equipment
24;male;unskilled_resident;rent;little;little;1546;24;radio/TV
29;female;skilled;own;little;rich;683;6;radio/TV
36;male;skilled;own;little;little;1372;12;car
31;female;skilled;own;little;little;6758;48;radio/TV
23;female;unskilled_resident;rent;little;little;3234;24;furniture/equipment
22;female;unskilled_resident;own;little;little;806;15;business
27;male;unskilled_resident;own;little;moderate;1082;9;radio/TV
27;female;skilled;own;little;moderate;2930;12;radio/TV
27;male;skilled;own;little;moderate;2820;36;car
30;male;skilled;own;little;moderate;1056;18;car
49;male;unskilled_resident;own;little;moderate;3124;12;car
33;male;unskilled_resident;rent;little;moderate;2384;36;repairs
20;female;skilled;rent;little;little;2039;18;furniture/equipment
36;male;skilled;rent;little;little;2799;9;car
21;male;unskilled_resident;own;little;little;1289;12;furniture/equipment
47;male;unskilled_resident;own;little;little;1217;18;domestic appliances
60;male;skilled;own;little;little;2246;12;furniture/equipment
58;female;unskilled_resident;own;little;little;385;12;radio/TV
20;female;unskilled_resident;rent;little;moderate;2718;24;car
23;female;skilled;rent;little;little;1442;24;car
36;male;unskilled_resident;own;little;moderate;4241;24;business
45;female;skilled;own;little;moderate;2329;7;radio/TV
30;female;skilled;own;little;moderate;918;9;furniture/equipment
34;female;unskilled_resident;free;little;moderate;1837;24;education
23;female;skilled;own;little;rich;1275;10;furniture/equipment
22;female;skilled;rent;little;little;3632;24;car
37;male;skilled;rent;little;little;3676;6;car
27;male;skilled;own;little;moderate;3652;21;business
22;female;skilled;rent;little;little;1858;12;furniture/equipment
65;male;skilled;free;little;little;2600;18;radio/TV
41;male;skilled;own;little;rich;2116;6;furniture/equipment
28;female;skilled;own;little;little;3660;24;radio/TV
44;male;skilled;own;little;little;1553;18;furniture/equipment
25;female;unskilled_resident;own;little;moderate;1355;24;car
26;male;skilled;own;little;little;4370;42;radio/TV
27;female;unskilled_non-resident;own;little;little;750;18;education
38;male;unskilled_resident;own;little;moderate;1308;15;repairs
32;male;highly_skilled;own;little;little;1880;18;radio/TV
32;male;skilled;own;little;little;4583;30;furniture/equipment
38;male;skilled;free;little;rich;947;24;car
40;male;unskilled_resident;rent;little;little;684;12;education
50;male;highly_skilled;free;little;little;7476;48;education
37;male;unskilled_resident;own;little;moderate;1922;12;furniture/equipment
45;male;skilled;own;little;little;2303;24;car
22;male;skilled;free;little;little;3973;14;car
41;male;unskilled_resident;own;little;moderate;888;12;car
28;female;skilled;own;little;moderate;4221;30;business
41;male;skilled;own;little;moderate;6361;18;furniture/equipment
23;male;skilled;rent;little;rich;1297;12;radio/TV
35;male;highly_skilled;own;little;moderate;1050;6;furniture/equipment
50;female;unskilled_resident;own;little;rich;1047;6;education
43;male;skilled;rent;little;little;4843;12;car
47;male;skilled;own;little;rich;3017;30;radio/TV
64;male;unskilled_resident;rent;little;little;2384;24;radio/TV
25;male;skilled;own;little;little;975;15;furniture/equipment
29;male;skilled;own;little;moderate;1103;12;radio/TV
40;male;highly_skilled;rent;little;rich;1905;15;education
46;male;skilled;free;little;little;6331;48;car
32;female;skilled;own;little;moderate;2528;27;business
25;female;skilled;rent;little;moderate;2969;12;furniture/equipment
25;female;skilled;own;little;moderate;1206;9;radio/TV
37;male;unskilled_resident;own;little;moderate;2118;9;radio/TV
35;female;skilled;free;little;little;1198;6;education
25;male;unskilled_resident;own;little;little;1138;9;radio/TV
27;male;highly_skilled;own;little;moderate;14027;60;car
34;male;highly_skilled;own;little;rich;1337;9;radio/TV
24;female;unskilled_resident;own;little;little;1228;12;car
25;female;skilled;rent;little;little;1882;18;radio/TV
59;female;skilled;rent;little;moderate;6416;48;business
33;male;skilled;own;little;moderate;6403;24;radio/TV
21;male;unskilled_resident;rent;little;little;1987;24;radio/TV
44;female;unskilled_resident;own;little;moderate;760;8;radio/TV
23;female;highly_skilled;rent;little;moderate;11560;24;car
23;male;unskilled_resident;own;little;moderate;1048;10;radio/TV
28;male;unskilled_resident;own;little;little;1797;13;business
23;female;skilled;rent;little;little;2511;15;car
37;female;unskilled_resident;own;little;little;1274;12;car
49;female;skilled;own;little;little;428;6;furniture/equipment
23;female;unskilled_resident;own;little;little;976;18;car
74;male;unskilled_non-resident;own;little;rich;1299;6;car
35;male;skilled;own;little;little;691;12;car
24;female;skilled;rent;little;little;2124;18;furniture/equipment
24;male;unskilled_resident;own;little;little;2214;12;radio/TV
40;male;unskilled_resident;own;little;moderate;1155;12;radio/TV
31;male;unskilled_resident;own;little;little;3108;30;furniture/equipment
28;male;skilled;rent;little;moderate;3617;12;furniture/equipment
25;female;highly_skilled;own;little;little;8065;36;education
25;female;skilled;own;little;little;3509;18;radio/TV
67;female;skilled;own;little;moderate;3872;18;repairs
25;male;skilled;own;little;moderate;4933;39;radio/TV
31;male;unskilled_resident;own;little;moderate;1410;12;education
50;male;skilled;free;little;moderate;6224;48;education
27;male;skilled;own;little;little;5998;40;education
39;female;skilled;own;little;moderate;1188;21;business
51;male;skilled;free;little;rich;2892;24;furniture/equipment
48;female;unskilled_resident;rent;little;moderate;1795;18;radio/TV
24;female;skilled;own;little;little;4272;20;furniture/equipment
24;male;skilled;own;little;little;9271;36;car
26;male;unskilled_resident;own;little;moderate;590;6;radio/TV
55;male;highly_skilled;free;little;moderate;9283;42;car
26;female;unskilled_non-resident;rent;little;moderate;1778;15;car
26;male;skilled;own;little;moderate;907;8;business
28;male;unskilled_resident;own;little;moderate;484;6;radio/TV
24;male;skilled;own;little;little;9629;36;car
54;male;skilled;own;little;little;3051;48;domestic appliances
46;male;skilled;free;little;little;3931;48;car
54;female;skilled;rent;little;moderate;7432;36;car
43;male;highly_skilled;own;little;little;15857;36;vacation/others
26;male;skilled;own;little;little;1345;18;radio/TV
24;male;skilled;own;little;rich;3016;12;radio/TV
41;male;skilled;own;little;little;2712;36;furniture/equipment
47;male;unskilled_resident;own;little;little;731;8;car
30;male;skilled;own;little;little;1602;21;car
33;female;skilled;rent;little;little;3966;18;car
23;female;skilled;rent;little;little;1216;18;car
29;male;skilled;rent;little;little;11816;45;business
25;female;unskilled_resident;own;little;rich;2327;15;radio/TV
48;male;skilled;own;little;little;1082;12;car
63;male;skilled;own;little;little;2957;24;car
29;male;skilled;own;little;little;5179;36;furniture/equipment
59;male;skilled;own;little;little;1364;9;radio/TV
57;male;unskilled_resident;own;little;little;709;12;radio/TV
33;male;skilled;rent;little;little;2235;20;car
32;male;unskilled_resident;free;little;little;1442;18;car
29;female;skilled;own;little;little;3959;15;car
35;female;skilled;own;little;little;2439;24;radio/TV
27;female;skilled;own;little;little;2389;18;radio/TV
24;female;skilled;rent;little;little;652;12;furniture/equipment
46;male;skilled;own;little;rich;1343;6;car
29;male;unskilled_resident;own;little;little;3590;12;furniture/equipment
36;male;highly_skilled;free;little;little;1940;18;radio/TV
27;male;highly_skilled;free;little;little;1422;9;car
43;male;skilled;own;little;moderate;4057;24;furniture/equipment
53;female;skilled;own;little;little;795;12;education
23;male;skilled;own;little;moderate;15672;48;business
43;male;highly_skilled;own;little;little;2442;27;business
38;male;unskilled_resident;own;little;little;2171;12;car
34;male;skilled;own;little;moderate;5800;36;car
28;female;highly_skilled;rent;little;little;2606;21;radio/TV
42;male;skilled;own;little;little;4153;18;furniture/equipment
43;male;skilled;rent;little;little;2625;16;car
20;male;highly_skilled;rent;little;little;1107;12;radio/TV
25;female;unskilled_resident;own;little;moderate;4736;24;furniture/equipment
31;male;skilled;rent;little;little;3161;24;business
32;female;highly_skilled;own;little;moderate;18424;48;vacation/others
68;male;highly_skilled;own;little;little;14896;6;car
39;male;highly_skilled;rent;little;little;3345;24;furniture/equipment
22;female;skilled;rent;little;little;1366;9;radio/TV
30;male;skilled;rent;little;moderate;2002;12;car
55;male;skilled;own;little;little;6872;24;furniture/equipment
46;male;skilled;own;little;little;697;12;car
21;female;skilled;rent;little;little;1049;18;furniture/equipment
39;male;skilled;free;little;little;10297;48;car
43;male;unskilled_resident;own;little;little;1344;12;car
24;male;unskilled_resident;own;little;little;1747;24;furniture/equipment
22;female;skilled;own;little;moderate;1670;9;radio/TV
23;female;skilled;own;little;little;1498;12;radio/TV
28;female;unskilled_resident;own;little;rich;745;9;radio/TV
30;male;highly_skilled;rent;little;moderate;2063;6;radio/TV
42;male;skilled;free;little;moderate;6288;60;education
46;female;skilled;rent;little;little;1845;15;furniture/equipment
40;male;unskilled_non-resident;own;little;moderate;3590;18;business
24;male;skilled;own;little;little;2145;36;business
29;female;skilled;own;little;little;1893;12;car
37;male;unskilled_resident;own;little;moderate;1154;9;radio/TV
45;male;unskilled_resident;own;little;little;4006;28;car
47;male;skilled;own;little;moderate;2353;21;car
22;male;unskilled_resident;own;little;moderate;454;6;repairs
40;male;unskilled_resident;own;little;little;3939;11;car
29;female;unskilled_non-resident;rent;little;little;1193;24;car
36;male;skilled;rent;little;little;7297;60;business
64;female;skilled;own;little;moderate;753;6;radio/TV
49;male;skilled;own;little;moderate;8386;30;furniture/equipment
26;male;skilled;own;little;little;8229;36;car
25;female;skilled;rent;little;little;1433;15;furniture/equipment
33;male;skilled;own;little;rich;6289;42;business
29;male;highly_skilled;free;little;little;6579;24;car
48;male;unskilled_resident;own;little;moderate;1743;24;radio/TV
30;male;highly_skilled;own;little;little;3959;36;furniture/equipment
40;male;highly_skilled;own;little;little;3857;30;car
23;male;skilled;free;little;little;1845;45;radio/TV
32;female;unskilled_resident;own;moderate;little;1282;24;radio/TV
44;male;skilled;own;moderate;moderate;1804;12;car
30;male;skilled;own;moderate;moderate;5866;18;car
24;male;skilled;rent;moderate;little;6187;30;car
47;male;skilled;free;moderate;moderate;12612;36;education
30;male;highly_skilled;own;moderate;little;2249;18;car
34;male;skilled;own;moderate;moderate;2622;18;business
31;male;skilled;own;moderate;moderate;1449;6;business
30;male;skilled;own;moderate;moderate;3566;48;business
36;male;highly_skilled;rent;moderate;moderate;6967;24;business
48;male;skilled;own;moderate;little;1288;9;repairs
38;male;skilled;own;moderate;moderate;3512;24;car
20;male;skilled;own;moderate;little;674;12;radio/TV
34;male;unskilled_resident;free;moderate;moderate;3844;48;business
21;male;skilled;rent;moderate;moderate;3031;45;radio/TV
27;female;skilled;rent;moderate;moderate;951;12;furniture/equipment
61;male;unskilled_resident;rent;moderate;moderate;2767;21;business
37;male;skilled;own;moderate;moderate;3878;24;car
31;male;highly_skilled;free;moderate;moderate;7582;48;vacation/others
33;male;unskilled_resident;own;moderate;little;727;12;radio/TV
24;female;highly_skilled;own;moderate;moderate;7408;60;car
60;female;highly_skilled;free;moderate;moderate;14782;60;vacation/others
32;male;skilled;rent;moderate;moderate;11760;39;education
22;male;skilled;rent;moderate;moderate;3092;24;radio/TV
39;male;unskilled_resident;own;moderate;moderate;1037;12;business
29;male;highly_skilled;rent;moderate;moderate;9034;36;furniture/equipment
28;male;skilled;own;moderate;rich;1323;6;car
49;male;skilled;own;moderate;rich;1126;9;radio/TV
38;male;skilled;own;moderate;moderate;1216;24;radio/TV
34;male;highly_skilled;own;moderate;moderate;6850;15;car
43;male;skilled;own;moderate;little;1203;6;car
28;female;skilled;rent;moderate;moderate;2631;15;car
27;male;skilled;own;moderate;moderate;1995;12;car
28;female;skilled;own;moderate;moderate;2278;18;car
23;female;skilled;rent;moderate;moderate;1553;24;radio/TV
32;female;unskilled_resident;own;moderate;moderate;931;6;car
50;female;skilled;free;moderate;moderate;2671;36;radio/TV
22;female;skilled;own;moderate;little;741;12;domestic appliances
48;female;unskilled_resident;free;moderate;rich;1240;10;car
21;female;skilled;rent;moderate;moderate;3441;30;furniture/equipment
29;male;skilled;own;moderate;moderate;1437;9;car
42;male;highly_skilled;own;moderate;moderate;8086;36;car
24;male;skilled;own;moderate;moderate;5595;72;radio/TV
31;male;unskilled_resident;own;moderate;moderate;9857;36;business
30;male;skilled;free;moderate;moderate;2862;36;car
25;female;unskilled_resident;own;moderate;moderate;2631;15;repairs
29;male;skilled;own;moderate;moderate;2896;24;radio/TV
47;female;skilled;free;moderate;rich;1377;24;radio/TV
41;male;skilled;own;moderate;moderate;2503;30;business
24;male;skilled;own;moderate;moderate;6560;48;car
31;male;skilled;own;moderate;moderate;6148;20;car
35;male;unskilled_resident;own;moderate;little;4380;18;car
26;female;unskilled_resident;rent;moderate;moderate;4280;30;business
32;male;skilled;own;moderate;little;2325;24;car
23;female;unskilled_resident;rent;moderate;moderate;841;12;business
23;female;unskilled_resident;own;moderate;moderate;836;12;car
26;male;skilled;own;moderate;little;1382;24;business
33;male;skilled;own;moderate;little;2359;24;furniture/equipment
30;male;highly_skilled;own;moderate;moderate;1919;30;radio/TV
30;male;skilled;free;moderate;moderate;3069;24;furniture/equipment
22;male;skilled;own;moderate;moderate;1514;15;repairs
25;male;skilled;rent;moderate;moderate;1264;15;car
28;female;highly_skilled;own;moderate;rich;2923;21;car
27;male;skilled;own;moderate;moderate;4576;45;car
44;male;skilled;rent;quite rich;little;2647;6;radio/TV
26;male;skilled;own;quite rich;moderate;1158;12;radio/TV
23;female;unskilled_non-resident;rent;quite rich;little;1352;6;car
35;male;skilled;own;quite rich;moderate;1410;14;business
35;male;skilled;own;quite rich;little;1680;12;radio/TV
23;female;skilled;own;quite rich;little;4281;33;furniture/equipment
36;male;highly_skilled;own;quite rich;moderate;2366;12;car
66;male;unskilled_resident;own;quite rich;moderate;766;12;radio/TV
52;male;skilled;own;quite rich;little;338;6;radio/TV
25;male;skilled;rent;quite rich;moderate;3213;18;radio/TV
23;female;unskilled_non-resident;rent;quite rich;moderate;3758;24;radio/TV
27;male;skilled;own;quite rich;moderate;2326;15;business
28;male;skilled;own;quite rich;rich;939;12;car
36;male;skilled;own;quite rich;rich;2360;15;car
22;male;skilled;own;quite rich;little;2828;24;furniture/equipment
66;female;unskilled_resident;own;quite rich;moderate;790;9;radio/TV
22;male;skilled;own;quite rich;little;2483;24;furniture/equipment
66;male;unskilled_non-resident;free;quite rich;rich;1480;12;car
30;female;skilled;own;quite rich;moderate;8358;48;car
30;male;skilled;free;quite rich;little;3349;24;furniture/equipment
28;female;skilled;rent;quite rich;moderate;4113;24;car
23;male;unskilled_resident;own;quite rich;moderate;2520;27;radio/TV
57;female;unskilled_resident;own;quite rich;rich;1258;24;radio/TV
42;female;skilled;rent;rich;rich;409;12;radio/TV
36;male;skilled;own;rich;moderate;1913;18;business
22;male;skilled;own;rich;moderate;1007;12;car
54;male;skilled;own;rich;moderate;1318;12;car
27;male;unskilled_non-resident;own;rich;rich;709;6;car
29;female;skilled;rent;rich;moderate;7758;24;car
20;female;skilled;own;rich;moderate;1577;11;furniture/equipment
27;male;skilled;own;rich;moderate;10961;48;radio/TV
39;female;unskilled_resident;own;rich;little;666;6;car
32;male;skilled;own;rich;moderate;2745;21;furniture/equipment
28;male;skilled;own;rich;little;2659;18;furniture/equipment
32;male;skilled;free;rich;moderate;1136;9;education
19;female;unskilled_resident;rent;rich;moderate;983;12;furniture/equipment
61;male;skilled;own;rich;moderate;1512;15;repairs
57;female;skilled;rent;rich;little;3622;30;furniture/equipment
29;female;skilled;own;rich;little;3357;21;radio/TV
34;male;skilled;own;rich;moderate;3496;30;furniture/equipment
31;male;skilled;own;rich;little;3651;12;car
24;female;skilled;rent;rich;moderate;433;6;education
36;male;skilled;own;rich;rich;1275;24;business
35;male;unskilled_resident;own;rich;moderate;1941;18;business
40;female;skilled;own;rich;moderate;1322;11;car
57;female;highly_skilled;rent;rich;little;1231;24;radio/TV
